chercheur_id,article_id,raw_pub_id
fsbm_bouazza_braikat,art_00060,fsbm_bouazza_braikat::oa:W2903220317
fsbm_siham_slassi,art_00061,fsbm_siham_slassi::oa:W2920272025
fsbm_chaouki_sadik,art_00062,fsbm_chaouki_sadik::oa:W3213645516
fsbm_chaouki_sadik,art_00063,fsbm_chaouki_sadik::oa:W4400110029
fsbm_faouzia_benabbou,art_00064,fsbm_faouzia_benabbou::oa:W4400770603
fsbm_halima_lebrazi,art_00065,fsbm_halima_lebrazi::oa:W4416926478
fsbm_karima_mohtadi,art_00065,fsbm_karima_mohtadi::oa:W4416926478
fsbm_elhabib_benlahmar,art_00066,fsbm_elhabib_benlahmar::oa:W3020749318
fsbm_said_nouh,art_00067,fsbm_said_nouh::oa:W2789721421
fsbm_khalid_adnaoui,art_00068,fsbm_khalid_adnaoui::oa:W4353001204
fsbm_omar_zakary,art_00069,fsbm_omar_zakary::oa:W3049717334
fsbm_khalid_kandali,art_00070,fsbm_khalid_kandali::oa:W7167889024
fsbm_said_nouh,art_00071,fsbm_said_nouh::oa:W1590529623
fsbm_abdellatif_slimani,art_00072,fsbm_abdellatif_slimani::PA70UmkAAAAJ:MXK_kJrjxJIC
fsbm_tarik_chafiq,art_00073,fsbm_tarik_chafiq::oa:W4252449316
fsbm_omar_zakary,art_00074,fsbm_omar_zakary::oa:W2607827829
fsbm_omar_zakary,art_00075,fsbm_omar_zakary::oa:W2588929915
fsbm_hassan_laarabi,art_00076,fsbm_hassan_laarabi::oa:W3170633329
fsbm_omar_zakary,art_00077,fsbm_omar_zakary::oa:W2470137482
fsbm_bouazza_braikat,art_00078,fsbm_bouazza_braikat::oa:W2029334696
fsbm_mohamed_talea,art_00079,fsbm_mohamed_talea::oa:W2792669219
fsbm_omar_zakary,art_00080,fsbm_omar_zakary::oa:W2485661712
fsbm_abdellah_hamdaoui,art_00081,fsbm_abdellah_hamdaoui::oa:W2946255924
fsbm_fouad_damiri,art_00082,fsbm_fouad_damiri::oa:W3099086326
fsbm_mohammed_berrada,art_00082,fsbm_mohammed_berrada::oa:W3099086326
fsbm_abderrahmane_daif,art_00083,fsbm_abderrahmane_daif::oa:W2775825833
